replication,seed,final_time,workday_minutes,total_revenue,clients_generated,clients_completed,average_seller_wait,average_repair_wait,average_change_wait,seller_utilization,technician_utilization,specialist_utilization,completed_type_1,completed_type_2,completed_type_3,completed_type_4,revenue_type_1,revenue_type_2,revenue_type_3,revenue_type_4
0,12345,482.0769627017996,480,5050.0,18,18,0.0,0.0,0.0,0.11613778388092855,0.14241989014784856,0.1809683277708643,9,3,2,4,0.0,1050.0,1000.0,3000.0
1,12346,490.60871952284157,480,13200.0,28,28,0.1826134628679798,0.0,0.0,0.20375610976658529,0.12649806183577095,0.07586708411525503,6,7,2,13,0.0,2450.0,1000.0,9750.0
2,12347,441.3892691918372,480,6150.0,20,20,0.15379026599451606,0.0,0.0,0.16910859472231488,0.19818372621828187,0.1126221662668609,9,4,2,5,0.0,1400.0,1000.0,3750.0
3,12348,481.1207466277332,480,8350.0,24,24,0.015950221173495056,0.4780329313718583,0.0,0.17066174699293846,0.2363651852045075,0.030016370833468392,7,11,0,6,0.0,3850.0,0.0,4500.0
4,12349,474.79045561081864,480,6150.0,22,22,0.0,0.0,0.7936950947616879,0.13460067111175686,0.32303954973848276,0.19066179357885202,11,4,2,5,0.0,1400.0,1000.0,3750.0
5,12350,469.0552638486259,480,7100.0,25,25,0.16207391523615086,0.6158093677364403,0.0,0.16164572317608675,0.1754282973501406,0.2053742930492984,11,6,4,4,0.0,2100.0,2000.0,3000.0
6,12351,488.8174403854388,480,3750.0,21,21,0.0,2.635767839005777,0.14874762075632475,0.11450883612168647,0.34858556224915394,0.1972100433945761,13,5,1,2,0.0,1750.0,500.0,1500.0
7,12352,430.34923984428775,480,7250.0,24,24,0.15551316772372323,0.0,0.0,0.15902821328463465,0.2884595717738813,0.14032211272458747,11,5,2,6,0.0,1750.0,1000.0,4500.0
8,12353,500.4221374919779,480,8050.0,25,25,0.0,0.0,0.0,0.1757000930819028,0.1360528617212436,0.06325635684114346,12,3,2,8,0.0,1050.0,1000.0,6000.0
9,12354,468.7620104159231,480,5250.0,24,24,0.27004003581260133,0.0,0.0,0.1527517672778125,0.19525449232790656,0.05985935356583045,14,5,1,4,0.0,1750.0,500.0,3000.0
10,12355,501.9580844573038,480,3000.0,22,22,0.0,0.0,0.0,0.12273697183933849,0.3381347383251044,0.003508728111947333,15,5,1,1,0.0,1750.0,500.0,750.0
11,12356,530.3698415374464,480,7900.0,29,29,0.0,0.0,1.7738124549880223,0.15221263002240762,0.29337643878432984,0.15384699087012144,14,4,7,4,0.0,1400.0,3500.0,3000.0
12,12357,551.8650221532646,480,3400.0,13,13,0.0,0.0,0.0,0.06399244517553172,0.13047243280312823,0.011314155392330822,6,4,1,2,0.0,1400.0,500.0,1500.0
