replication,seed,final_time,workday_minutes,total_revenue,clients_generated,clients_completed,average_seller_wait,average_repair_wait,average_change_wait,seller_utilization,technician_utilization,specialist_utilization,completed_type_1,completed_type_2,completed_type_3,completed_type_4,revenue_type_1,revenue_type_2,revenue_type_3,revenue_type_4
0,12345,500.2331227024869,480,2650.0,18,18,0.1615794506548143,0.0,0.0,0.09239468400685835,0.16853837419424972,0.016052851985969393,12,4,1,1,0.0,1400.0,500.0,750.0
1,12346,483.2028819396937,480,6650.0,21,21,0.0,0.0,0.0,0.1388514604304564,0.09414512146344982,0.07440421098454732,9,4,3,5,0.0,1400.0,1500.0,3750.0
2,12347,485.6805992148205,480,8650.0,27,27,0.0,0.0,0.0,0.16968465619031425,0.16791324277985772,0.16028753283182606,12,4,4,7,0.0,1400.0,2000.0,5250.0
3,12348,492.2056991500868,480,9500.0,30,30,0.3095918280170385,0.0,0.0,0.20897466822144534,0.12193507165775282,0.15563809068642476,13,5,5,7,0.0,1750.0,2500.0,5250.0
4,12349,472.4987789701396,480,6400.0,19,19,0.0,0.0,0.0,0.12694439231096474,0.06867770394155405,0.059620426503594406,8,4,1,6,0.0,1400.0,500.0,4500.0
5,12350,493.1813557633716,480,9750.0,25,25,0.44124983535944096,0.0,13.852649952662631,0.1781442902652674,0.2060335067877104,0.139125569974561,6,10,2,7,0.0,3500.0,1000.0,5250.0
6,12351,498.250323306252,480,4850.0,21,21,0.07945397697988758,0.0,0.0,0.1315126035698649,0.2680038373948716,0.013658236677175986,11,6,1,3,0.0,2100.0,500.0,2250.0
7,12352,501.87688969288035,480,7950.0,24,24,0.0,0.0,0.0,0.16264990027316295,0.18500812988843282,0.023486200912544844,9,7,2,6,0.0,2450.0,1000.0,4500.0
8,12353,483.3443600146892,480,7750.0,21,21,0.2143980745024015,0.0,0.0,0.12222905133469979,0.12789463275439208,0.037545972439349026,5,10,1,5,0.0,3500.0,500.0,3750.0
9,12354,479.6887575818877,480,6950.0,20,20,0.1044951814291835,0.0,0.0,0.13783417161519532,0.19609360270713405,0.1802892213143622,7,7,0,6,0.0,2450.0,0.0,4500.0
10,12355,563.818754715096,480,6300.0,22,22,0.18530602346555014,0.0,0.0,0.11805119341181443,0.27430391010926286,0.037058109654645524,9,8,1,4,0.0,2800.0,500.0,3000.0
11,12356,507.2872152267118,480,5400.0,15,15,0.0,0.0,0.0,0.0919567693885591,0.09293727365229822,0.04133837278603869,5,4,2,4,0.0,1400.0,1000.0,3000.0
12,12357,480.5064226451083,480,5150.0,20,20,0.0,0.0,0.0,0.11269617958798898,0.24407195256648972,0.18407471640311066,7,9,4,0,0.0,3150.0,2000.0,0.0
13,12358,520.100140182776,480,5400.0,25,25,0.0,0.0,0.0,0.12717984755378434,0.2532041278863548,0.12042650713371686,13,9,0,3,0.0,3150.0,0.0,2250.0
14,12359,468.7763592093914,480,7400.0,22,22,0.0,0.0,0.0,0.13030675978421868,0.34148006133800285,0.02949312748393345,7,9,1,5,0.0,3150.0,500.0,3750.0
15,12360,466.8560724723713,480,7300.0,26,26,0.08762964246715708,0.0,0.0,0.1642345831326508,0.24683485867361946,0.002105334458557971,12,8,0,6,0.0,2800.0,0.0,4500.0
16,12361,469.6367045548334,480,7850.0,29,29,0.03707314384325953,0.0,0.0,0.17824027823130686,0.28718175394052836,0.17481366973027915,14,6,4,5,0.0,2100.0,2000.0,3750.0
17,12362,490.38791633753505,480,4900.0,23,23,0.019370370560138732,0.0,0.0,0.12032514692236826,0.36059410451771623,0.05451258863876017,14,4,1,4,0.0,1400.0,500.0,3000.0
18,12363,481.2758932593036,480,9200.0,24,24,0.0,0.0,0.0,0.15170284882161017,0.19660859123472518,0.08615429937780847,7,7,3,7,0.0,2450.0,1500.0,5250.0
19,12364,446.20363969058957,480,6000.0,20,20,0.0,0.0,0.0,0.13201533718491504,0.22214357934896428,0.01826232879448783,9,5,1,5,0.0,1750.0,500.0,3750.0
20,12365,517.4213456638956,480,7000.0,24,24,0.02992993442395016,0.0,0.0,0.15816630397870057,0.2681412297764597,0.0,12,5,0,7,0.0,1750.0,0.0,5250.0
21,12366,517.977277124331,480,5550.0,26,26,0.0,0.0,0.0,0.14469910733697514,0.22693828975050936,0.10536386346175684,16,3,3,4,0.0,1050.0,1500.0,3000.0
22,12367,483.9822093245879,480,9000.0,22,22,0.1761815914316132,0.0,0.0,0.15643484037514044,0.1444762836523431,0.02527111431192711,7,5,1,9,0.0,1750.0,500.0,6750.0
23,12368,522.3268379378432,480,6300.0,18,18,0.0,0.0,0.0,0.10400221258232502,0.22770810200206248,0.10019623985494078,7,3,3,5,0.0,1050.0,1500.0,3750.0
24,12369,488.88316539055916,480,8600.0,24,24,0.07704644134884475,0.0,0.0,0.15909347245173175,0.20487617997390623,0.09540829769441156,9,6,1,8,0.0,2100.0,500.0,6000.0
25,12370,445.1286808750754,480,5400.0,21,21,0.0,0.0,41.90127802365222,0.12589852775779348,0.11532438813426414,0.3257206845970336,11,4,2,4,0.0,1400.0,1000.0,3000.0
26,12371,553.033778310177,480,7050.0,23,23,0.0,0.0,0.0,0.11206395461973331,0.26300465998936917,0.04823507479547892,9,8,1,5,0.0,2800.0,500.0,3750.0
27,12372,467.686788907854,480,11150.0,33,33,0.022010944035597193,0.0,0.0,0.23302753981608545,0.19933041213143224,0.030264866007912457,12,9,4,8,0.0,3150.0,2000.0,6000.0
28,12373,496.9629249529087,480,10600.0,37,37,0.021077071183508204,0.0,0.0,0.20557118784560197,0.29807459424545313,0.1062258087144039,16,11,3,7,0.0,3850.0,1500.0,5250.0
29,12374,487.50959186322706,480,6950.0,21,21,0.0,0.0,0.0,0.11016255551229008,0.1772611526231285,0.11424326484682817,7,7,3,4,0.0,2450.0,1500.0,3000.0
30,12375,488.5967496731673,480,6950.0,24,24,0.0,0.0,0.0,0.13509469538249752,0.20181992876676005,0.0,11,7,0,6,0.0,2450.0,0.0,4500.0
31,12376,478.84847781443614,480,10100.0,26,26,0.0883265243924203,0.0,9.933244906120223,0.17032801891840735,0.15839550284773268,0.20851040108634117,8,6,4,8,0.0,2100.0,2000.0,6000.0
32,12377,502.42988210369754,480,6450.0,20,20,0.0,0.0,0.0,0.12157024122095948,0.12470317019070702,0.14599974435401733,9,2,4,5,0.0,700.0,2000.0,3750.0
33,12378,492.7288884286864,480,4600.0,22,22,0.044481960900849445,0.0,0.0,0.11569784382490537,0.23676815668137233,0.022447318300113532,12,6,2,2,0.0,2100.0,1000.0,1500.0
34,12379,466.61138851947214,480,9050.0,28,28,0.10271466933975505,0.0,0.0,0.18336035113163532,0.28771671784585573,0.007074705428241096,11,8,2,7,0.0,2800.0,1000.0,5250.0
35,12380,499.9612447766915,480,7050.0,21,21,0.0,0.0,0.0,0.15005923695809467,0.15398722027575446,0.0,10,3,0,8,0.0,1050.0,0.0,6000.0
36,12381,506.86881285982025,480,9050.0,29,29,0.29882892595570404,0.0,0.8134572461327991,0.18990671275106658,0.31341282295629197,0.026504088114761393,12,8,2,7,0.0,2800.0,1000.0,5250.0
37,12382,434.30234200381653,480,8200.0,23,23,0.46372924433847745,0.0,0.0,0.19255006524319734,0.19911130259661236,0.0,11,2,0,10,0.0,700.0,0.0,7500.0
38,12383,482.5028812713459,480,7500.0,22,22,0.04589143771448272,0.0,0.0,0.1637234026211072,0.14718372431610122,0.03427173990878264,8,5,4,5,0.0,1750.0,2000.0,3750.0
39,12384,413.3757177508049,480,4150.0,20,20,0.0,0.0,0.0,0.13410140172934243,0.2815851023832682,0.0936518956205348,12,4,1,3,0.0,1400.0,500.0,2250.0
40,12385,567.3154659999661,480,8050.0,34,34,0.29671708710400385,0.0,0.0,0.19043025508583913,0.3599439456940043,0.11719186353939162,16,13,1,4,0.0,4550.0,500.0,3000.0
41,12386,478.15975791851906,480,4700.0,20,20,0.0,0.0,0.0,0.10082755455785206,0.23188753567104375,0.041487569310271685,9,7,3,1,0.0,2450.0,1500.0,750.0
42,12387,481.10723053218265,480,8500.0,27,27,0.0,0.0,0.9807746095676085,0.17220292250568903,0.21853853936172896,0.18152100474350605,11,5,6,5,0.0,1750.0,3000.0,3750.0
43,12388,494.782460473215,480,6800.0,23,23,0.07792930110154518,0.0,0.0,0.1347129408391616,0.2564642009699478,0.04084032365635947,9,8,2,4,0.0,2800.0,1000.0,3000.0
44,12389,515.0196154909391,480,3200.0,21,21,0.0,0.0,0.0,0.1117643780925926,0.2809400337682405,0.0,13,7,0,1,0.0,2450.0,0.0,750.0
45,12390,578.5446570175806,480,7600.0,26,26,0.3491853724561644,0.0,0.0,0.14786555627692613,0.19677331141832347,0.277872635920382,12,6,2,6,0.0,2100.0,1000.0,4500.0
46,12391,502.64514826295425,480,5950.0,25,25,0.0,0.0,0.0,0.1131513813205013,0.1709309329251061,0.05155354333359562,12,7,4,2,0.0,2450.0,2000.0,1500.0
47,12392,491.00235093814536,480,6150.0,22,22,0.0,0.0,0.0,0.14190780596321936,0.27406223865829993,0.041526013701709,11,4,2,5,0.0,1400.0,1000.0,3750.0
